(ry,date,ggrks,hshs,iphone,orz,w ,うｐ,まどかマギカ,まどマギ,エヴァ,オワコン,コードギアス,ジワる,ステマ,ソシャゲ,ソース,チラ裏,ナマポ,メシウマ,ワンチャン,今北産業,初音ミク,尊師,情弱,禿同,笑 ,結月ゆかり,自宅警備員,艦これ,香具師
0.0,2000/00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2000/01,0.0,0.0,0.0,0.0,0.0005991212887764612,3.328451604313673e-05,0.0,0.0,0.00046598322460391424,0.0,0.0,0.0,3.328451604313673e-05,0.0,0.0012980961256823325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009319664492078285,0.0,0.0,0.0,0.0
0.0,2000/02,0.0,0.0,0.0,0.0,0.0005946663007181739,4.574356159370569e-05,0.0,0.0,0.000731896985499291,0.0,0.0,0.0,0.0,0.0,0.0015095375325922876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001440922190201729,0.0,0.0,0.0,0.0
0.0,2000/03,0.0,0.0,1.2653903096410087e-05,0.0,0.0008225037012666557,7.592341857846053e-05,0.0,0.0,0.0013160059220266491,0.0,0.0,0.0,1.2653903096410087e-05,0.0,0.0009616966353271667,0.0,0.0,0.0,0.0,0.0,0.0,5.061561238564035e-05,0.0,0.0,0.0016323534994369014,0.0,0.0,0.0,0.0
8.340283569641367e-06,2000/04,0.0,0.0,0.0,2.5020850708924103e-05,0.0011092577147623019,4.170141784820684e-05,0.0,0.0,0.00045871559633027525,0.0,0.0,0.0,8.340283569641367e-06,0.0,0.0011342785654712261,0.0,0.0,2.5020850708924103e-05,8.340283569641367e-06,0.0,0.0,4.170141784820684e-05,0.0,8.340283569641367e-06,0.002176814011676397,0.0,0.0,0.0,8.340283569641367e-06
0.0,2000/05,0.0,0.0,0.0,0.0,0.0011557944566107019,2.212046806910434e-05,0.0,0.0,0.0004258190103302586,0.0,0.0,0.0,1.106023403455217e-05,0.0,0.001166854690645254,0.0,0.0,0.0,1.106023403455217e-05,0.0,0.0,5.5301170172760856e-05,0.0,0.0,0.0032572389231756145,0.0,0.0,0.0,5.530117017276085e-06
0.0,2000/06,0.0,0.0,0.0,0.0,0.0010816470800844057,1.0630438133507673e-05,0.0,0.0,0.0003694077251393916,0.0,0.0,0.0,1.8603266733638426e-05,0.0,0.0011161960040183055,0.0,0.0,0.0,1.0630438133507673e-05,0.0,0.0,7.44130669345537e-05,0.0,0.0,0.0027665715242453717,0.0,0.0,0.0,0.0
0.0,2000/07,0.0,0.0,0.0,3.062937234290195e-06,0.001035272785190086,1.837762340574117e-05,0.0,0.0,0.0004288112128006273,0.0,0.0,0.0,9.188811702870585e-06,0.0,0.0008147413043211918,0.0,0.0,0.0,9.188811702870585e-06,0.0,0.0,9.495105426299604e-05,0.0,0.0,0.003804168044988422,0.0,0.0,0.0,6.12587446858039e-06
0.0,2000/08,0.0,0.0,0.0,0.0,0.0018196124717222387,1.3114324120520638e-05,0.0,0.0,0.0002983508737418445,0.0,0.0,0.0,1.3114324120520638e-05,0.0,0.0014622471394380512,0.0,0.0,0.0,3.2785810301301596e-06,0.0,0.0,1.967148618078096e-05,0.0,0.0,0.005419494442805154,0.0,0.0,0.0,6.557162060260319e-06
0.0,2000/09,0.0,0.0,0.0,0.0,0.0018166623282322477,4.6581085339288404e-05,0.0,0.0,0.0003397679165924566,0.0,0.0,0.0,1.644038306092532e-05,0.0,0.0013727719855872642,0.0,0.0,0.0,5.480127686975106e-06,0.0,0.0,5.754134071323862e-05,0.0,0.0,0.005625351070679947,0.0,0.0,0.0,0.0
